sequence_id,category,method,base_seed,seed,exact_match_accuracy,pairwise_order_accuracy,normalized_kendall_agreement,kendall_tau,inversion_count
sequence_1,DIY,continuity,130,130,0.0,0.14285714285714285,0.1428571428571429,-0.7142857142857142,24.0
sequence_2,Plant Growth,greedy_nn,130,131,0.0,0.0,0.0,-1.0,28.0
sequence_2,Plant Growth,continuity,130,131,0.0,0.7857142857142857,0.7857142857142857,0.5714285714285714,6.0
sequence_3,Construction,greedy_nn,130,132,0.0,0.75,0.75,0.5,7.0
sequence_3,Construction,continuity,130,132,0.0,0.25,0.25,-0.5,21.0
sequence_4,Plant Growth,greedy_nn,130,133,1.0,1.0,1.0,1.0,0.0
sequence_4,Plant Growth,continuity,130,133,1.0,1.0,1.0,1.0,0.0
sequence_5,DIY,greedy_nn,130,134,0.0,0.35714285714285715,0.3571428571428571,-0.2857142857142858,18.0
sequence_5,DIY,continuity,130,134,0.0,0.7142857142857143,0.7142857142857143,0.4285714285714286,8.0
sequence_6,DIY,greedy_nn,130,135,0.0,0.75,0.75,0.5,7.0
sequence_6,DIY,continuity,130,135,0.0,0.25,0.25,-0.5,21.0
sequence_7,Coffee,greedy_nn,130,136,0.0,0.6071428571428571,0.6071428571428572,0.2142857142857143,11.0
sequence_7,Coffee,continuity,130,136,0.0,0.6071428571428571,0.6071428571428572,0.2142857142857143,11.0
sequence_1,DIY,greedy_nn,140,140,0.0,0.8214285714285714,0.8214285714285714,0.6428571428571428,5.0
sequence_1,DIY,continuity,140,140,0.0,0.14285714285714285,0.1428571428571429,-0.7142857142857142,24.0
sequence_2,Plant Growth,greedy_nn,140,141,1.0,1.0,1.0,1.0,0.0
sequence_2,Plant Growth,continuity,140,141,0.0,0.21428571428571427,0.2142857142857143,-0.5714285714285714,22.0
sequence_3,Construction,greedy_nn,140,142,0.0,0.75,0.75,0.5,7.0
sequence_3,Construction,continuity,140,142,0.0,0.75,0.75,0.5,7.0
sequence_4,Plant Growth,greedy_nn,140,143,1.0,1.0,1.0,1.0,0.0
sequence_4,Plant Growth,continuity,140,143,1.0,1.0,1.0,1.0,0.0
sequence_5,DIY,greedy_nn,140,144,0.0,0.35714285714285715,0.3571428571428571,-0.2857142857142858,18.0
sequence_5,DIY,continuity,140,144,0.0,0.7142857142857143,0.7142857142857143,0.4285714285714286,8.0
sequence_6,DIY,greedy_nn,140,145,0.0,0.75,0.75,0.5,7.0
sequence_6,DIY,continuity,140,145,0.0,0.25,0.25,-0.5,21.0
sequence_7,Coffee,greedy_nn,140,146,0.0,0.6071428571428571,0.6071428571428572,0.2142857142857143,11.0
sequence_7,Coffee,continuity,140,146,0.0,0.6071428571428571,0.6071428571428572,0.2142857142857143,11.0
sequence_1,DIY,greedy_nn,150,150,0.0,0.8214285714285714,0.8214285714285714,0.6428571428571428,5.0
sequence_1,DIY,continuity,150,150,0.0,0.8571428571428571,0.8571428571428572,0.7142857142857143,4.0
sequence_2,Plant Growth,greedy_nn,150,151,0.0,0.0,0.0,-1.0,28.0
sequence_2,Plant Growth,continuity,150,151,0.0,0.21428571428571427,0.2142857142857143,-0.5714285714285714,22.0
sequence_3,Construction,greedy_nn,150,152,0.0,0.75,0.75,0.5,7.0
sequence_3,Construction,continuity,150,152,0.0,0.75,0.75,0.5,7.0
sequence_4,Plant Growth,greedy_nn,150,153,1.0,1.0,1.0,1.0,0.0
sequence_4,Plant Growth,continuity,150,153,0.0,0.0,0.0,-1.0,28.0
sequence_5,DIY,greedy_nn,150,154,0.0,0.35714285714285715,0.3571428571428571,-0.2857142857142858,18.0
sequence_5,DIY,continuity,150,154,0.0,0.7142857142857143,0.7142857142857143,0.4285714285714286,8.0
sequence_6,DIY,greedy_nn,150,155,0.0,0.75,0.75,0.5,7.0
sequence_6,DIY,continuity,150,155,0.0,0.75,0.75,0.5,7.0
sequence_7,Coffee,greedy_nn,150,156,0.0,0.6071428571428571,0.6071428571428572,0.2142857142857143,11.0
sequence_7,Coffee,continuity,150,156,0.0,0.6071428571428571,0.6071428571428572,0.2142857142857143,11.0
